Category,Word/Phrase,Meaning_Indonesia,Example_Sentence,Level
Basic Vocabulary,love,cinta/sangat suka,"I love learning English!",Beginner
Basic Vocabulary,hate,benci,"I hate being late.",Beginner
Basic Vocabulary,want,mau/ingin,"I want to learn English.",Beginner
Basic Vocabulary,need,butuh/perlu,"I need help with this.",Beginner
Basic Vocabulary,know,tahu/kenal,"I know the answer.",Beginner
Basic Vocabulary,think,pikir/berpikir,"I think you're right.",Beginner
Basic Vocabulary,understand,mengerti/memahami,"Do you understand?",Beginner
Basic Vocabulary,forget,lupa,"I forgot my password.",Beginner
Basic Vocabulary,remember,ingat,"I remember your name.",Beginner
Basic Vocabulary,help,bantuan/membantu,"Can you help me?",Beginner
Basic Vocabulary,work,kerja/bekerja,"She works at a hospital.",Beginner
Basic Vocabulary,study,belajar,"I study every night.",Beginner
Basic Vocabulary,learn,mempelajari,"I want to learn French.",Beginner
Basic Vocabulary,teach,mengajar,"She teaches English.",Beginner
Basic Vocabulary,ask,bertanya/meminta,"Can I ask you something?",Beginner
Basic Vocabulary,answer,menjawab/jawaban,"Please answer the question.",Beginner
Basic Vocabulary,tell,menceritakan/memberitahu,"Tell me about yourself.",Beginner
Basic Vocabulary,say,berkata/mengatakan,"What did she say?",Beginner
Basic Vocabulary,call,menelepon/memanggil,"I'll call you later.",Beginner
Basic Vocabulary,meet,bertemu,"Nice to meet you.",Beginner
Basic Vocabulary,wait,menunggu,"Please wait a moment.",Beginner
Basic Vocabulary,start/begin,mulai,"Let's start the class.",Beginner
Basic Vocabulary,finish/end,selesai/mengakhiri,"I finished my homework.",Beginner
Basic Vocabulary,try,mencoba,"Try your best!",Beginner
Basic Vocabulary,use,menggunakan/memakai,"How do you use this?",Beginner
Basic Vocabulary,make,membuat,"I made a cake yesterday.",Beginner
Basic Vocabulary,put,meletakkan,"Put the book on the table.",Beginner
Basic Vocabulary,get,mendapatkan,"I got a new job!",Beginner
Basic Vocabulary,have,memiliki,"I have two brothers.",Beginner
Basic Vocabulary,be (am/is/are),adalah/menjadi,"She is my best friend.",Beginner
School/Education,assignment,tugas,"I have three assignments due tomorrow.",Intermediate
School/Education,attendance,kehadiran,"Your attendance affects your grade.",Intermediate
School/Education,campus,kampus,"I study at a campus in Surabaya.",Intermediate
School/Education,certificate,sertifikat,"She received a certificate after completing the course.",Intermediate
School/Education,classroom,ruang kelas,"The classroom has 30 students.",Beginner
School/Education,curriculum,kurikulum,"The curriculum was updated this year.",Intermediate
School/Education,deadline,batas waktu,"The deadline for the project is Friday.",Intermediate
School/Education,degree,gelar (akademik),"She has a degree in Computer Science.",Intermediate
School/Education,department,departemen/jurusan,"I'm in the English Department.",Intermediate
School/Education,essay,esai,"Write a 500-word essay on this topic.",Intermediate
School/Education,exam/test,ujian/tes,"The final exam is next week.",Beginner
School/Education,grade/score,nilai,"She got an A grade on her essay.",Intermediate
School/Education,homework,pekerjaan rumah,"Did you do your homework?",Beginner
School/Education,knowledge,pengetahuan,"Knowledge is power.",Intermediate
School/Education,lecture,kuliah/ceramah,"The lecture starts at 8 AM.",Intermediate
School/Education,library,perpustakaan,"I spent 3 hours in the library.",Beginner
School/Education,major,jurusan (kuliah),"My major is English Literature.",Intermediate
School/Education,presentation,presentasi,"I have a presentation tomorrow.",Intermediate
School/Education,professor,profesor/dosen,"The professor gave an interesting lecture.",Intermediate
School/Education,research,penelitian,"She is doing research for her thesis.",Intermediate
School/Education,scholarship,beasiswa,"He received a scholarship to study abroad.",Intermediate
School/Education,semester,semester,"We have two semesters per year.",Intermediate
School/Education,textbook,buku teks/buku pelajaran,"Buy the textbook before the semester starts.",Intermediate
School/Education,thesis,skripsi/tesis,"She is writing her thesis on language acquisition.",Advanced
School/Education,tuition,biaya kuliah,"The tuition fee increased this year.",Intermediate
Technology,application/app,aplikasi,"Download the app on your phone.",Beginner
Technology,battery,baterai,"My phone battery is low.",Beginner
Technology,browser,peramban,"Use a browser to access the internet.",Intermediate
Technology,charge,mengisi daya,"I need to charge my laptop.",Beginner
Technology,click,klik,"Click the button to submit.",Beginner
Technology,connection,koneksi,"The internet connection is slow today.",Intermediate
Technology,data,data,"Back up your data regularly.",Intermediate
Technology,device,perangkat,"This app works on all devices.",Intermediate
Technology,download,unduh,"Download the file from the website.",Beginner
Technology,email,surel/email,"Send me an email with the details.",Beginner
Technology,file,berkas/file,"Attach the file to your email.",Beginner
Technology,hardware,perangkat keras,"The hardware needs to be upgraded.",Advanced
Technology,install,pasang/instal,"Install the software before using it.",Intermediate
Technology,internet,internet,"I use the internet for research.",Beginner
Technology,keyboard,papan ketik,"The keyboard is not working.",Beginner
Technology,laptop,laptop,"I use my laptop for studying.",Beginner
Technology,message,pesan,"I sent her a message on WhatsApp.",Beginner
Technology,network,jaringan,"The network is down today.",Intermediate
Technology,notification,notifikasi,"Turn off notifications while studying.",Intermediate
Technology,online,daring/online,"The class is online today.",Beginner
Technology,password,kata sandi,"Don't share your password.",Beginner
Technology,screen,layar,"The screen is too bright.",Beginner
Technology,search,cari/mencari,"Search for information online.",Beginner
Technology,software,perangkat lunak,"Update your software regularly.",Intermediate
Technology,upload,unggah,"Upload the photo to Instagram.",Beginner
Technology,username,nama pengguna,"Enter your username and password.",Beginner
Technology,website,situs web,"Visit our website for more information.",Beginner
Technology,wireless,nirkabel,"Connect to the wireless network.",Intermediate
Health,allergy,alergi,"I have an allergy to peanuts.",Intermediate
Health,appointment,janji (dokter),"I have a doctor's appointment tomorrow.",Intermediate
Health,clinic,klinik,"Go to the nearest clinic.",Beginner
Health,cold,pilek,"I have a cold and a sore throat.",Beginner
Health,cough,batuk,"She has been coughing for a week.",Beginner
Health,cure,menyembuhkan/obat,"There is no cure for the common cold.",Intermediate
Health,diet,diet/pola makan,"She is on a healthy diet.",Intermediate
Health,disease,penyakit,"Heart disease is very common.",Intermediate
Health,dizzy,pusing/pening,"I feel dizzy after spinning.",Beginner
Health,doctor,dokter,"See a doctor if it gets worse.",Beginner
Health,exercise,olahraga,"Exercise regularly for good health.",Beginner
Health,fever,demam,"She has a high fever.",Beginner
Health,healthy,sehat,"Eating vegetables keeps you healthy.",Beginner
Health,headache,sakit kepala,"I have a terrible headache.",Beginner
Health,hospital,rumah sakit,"She was taken to the hospital.",Beginner
Health,hurt,sakit/menyakiti,"My back hurts from sitting too long.",Beginner
Health,illness/sickness,penyakit/sakit,"She missed school due to illness.",Intermediate
Health,injection,suntikan,"The nurse gave him an injection.",Intermediate
Health,medicine/drug,obat,"Take this medicine twice a day.",Beginner
Health,nausea,mual,"She felt nausea during the car ride.",Intermediate
Health,nurse,perawat,"The nurse checked his temperature.",Beginner
Health,pain,rasa sakit,"I feel pain in my right knee.",Intermediate
Health,patient,pasien,"The patient is recovering well.",Intermediate
Health,prescription,resep dokter,"You need a prescription for this medicine.",Intermediate
Health,recover,pulih/sembuh,"She recovered from the flu quickly.",Intermediate
Health,rest,istirahat,"Rest is important when you're sick.",Beginner
Health,sneeze,bersin,"Cover your mouth when you sneeze.",Beginner
Health,stomach ache,sakit perut,"I have a stomach ache after eating.",Beginner
Health,surgery,operasi,"He had surgery on his knee.",Advanced
Health,symptom,gejala,"Fever is a symptom of many illnesses.",Intermediate
Health,vaccine/vaccination,vaksin/vaksinasi,"Get your flu vaccine every year.",Intermediate
Food & Drink,appetizer,makanan pembuka,"We ordered an appetizer before the main course.",Intermediate
Food & Drink,breakfast,sarapan,"Don't skip breakfast!",Beginner
Food & Drink,lunch,makan siang,"What did you have for lunch?",Beginner
Food & Drink,dinner,makan malam,"We had dinner at a nice restaurant.",Beginner
Food & Drink,snack,camilan,"I had a snack between classes.",Beginner
Food & Drink,dessert,hidangan penutup,"We had ice cream for dessert.",Intermediate
Food & Drink,beverage,minuman,"What beverage would you like?",Intermediate
Food & Drink,delicious,enak/lezat,"This food is so delicious!",Beginner
Food & Drink,recipe,resep,"Can you share the recipe?",Intermediate
Food & Drink,ingredient,bahan (masakan),"What ingredients do you need?",Intermediate
Food & Drink,cook,memasak,"I love to cook on weekends.",Beginner
Food & Drink,boil,merebus,"Boil the water first.",Beginner
Food & Drink,fry,menggoreng,"Fry the onions until golden.",Beginner
Food & Drink,bake,memanggang (oven),"She baked a chocolate cake.",Intermediate
Food & Drink,grill,memanggang (panggangan),"Let's grill some chicken.",Intermediate
Food & Drink,spicy,pedas,"Indonesian food is often spicy.",Beginner
Food & Drink,sweet,manis,"This coffee is too sweet.",Beginner
Food & Drink,sour,asam,"Lemon is very sour.",Beginner
Food & Drink,bitter,pahit,"Black coffee is bitter.",Beginner
Food & Drink,salty,asin,"This soup is too salty.",Beginner
Travel,accommodation,akomodasi,"Book your accommodation early.",Intermediate
Travel,arrival,kedatangan,"The arrival time is 3 PM.",Intermediate
Travel,baggage/luggage,bagasi/koper,"Don't forget your luggage!",Intermediate
Travel,boarding pass,kartu boarding,"Show your boarding pass at the gate.",Intermediate
Travel,cancel,membatalkan,"I need to cancel my reservation.",Intermediate
Travel,confirm,mengkonfirmasi,"Please confirm your booking.",Intermediate
Travel,departure,keberangkatan,"The departure is at 6 AM.",Intermediate
Travel,destination,tujuan,"What's your final destination?",Intermediate
Travel,flight,penerbangan,"The flight takes 2 hours.",Intermediate
Travel,hotel,hotel,"We stayed at a 5-star hotel.",Beginner
Travel,itinerary,rencana perjalanan,"Share your itinerary with someone.",Advanced
Travel,journey/trip,perjalanan,"Have a safe journey!",Beginner
Travel,passport,paspor,"Don't forget your passport!",Beginner
Travel,reservation,reservasi/pemesanan,"I made a reservation for 2 nights.",Intermediate
Travel,souvenir,suvenir,"I bought some souvenirs for my family.",Beginner
Travel,ticket,tiket,"I booked two tickets to Bali.",Beginner
Travel,tourist,turis/wisatawan,"Bali is popular with tourists.",Beginner
Travel,visa,visa,"You need a visa to enter that country.",Intermediate
Work/Career,applicant,pelamar kerja,"There were 50 applicants for the job.",Intermediate
Work/Career,application,lamaran kerja,"Submit your application by Friday.",Intermediate
Work/Career,boss/manager,atasan/manajer,"My boss is very supportive.",Beginner
Work/Career,career,karier,"She has a successful career in teaching.",Intermediate
Work/Career,colleague,rekan kerja,"My colleagues are very friendly.",Intermediate
Work/Career,company,perusahaan,"She works for a big company.",Beginner
Work/Career,contract,kontrak,"Sign the contract before starting.",Intermediate
Work/Career,employee,karyawan,"The company has 200 employees.",Intermediate
Work/Career,employer,pemberi kerja/majikan,"My employer is very flexible.",Intermediate
Work/Career,experience,pengalaman,"How many years of experience do you have?",Intermediate
Work/Career,interview,wawancara kerja,"I have a job interview tomorrow.",Intermediate
Work/Career,meeting,rapat/pertemuan,"We have a meeting at 10 AM.",Beginner
Work/Career,office,kantor,"I work in a downtown office.",Beginner
Work/Career,overtime,lembur,"I worked overtime to finish the project.",Intermediate
Work/Career,position/job title,jabatan/posisi,"What is your current position?",Intermediate
Work/Career,professional,profesional,"She is very professional at work.",Intermediate
Work/Career,promote/promotion,promosi/naik jabatan,"She was promoted to manager.",Intermediate
Work/Career,qualification,kualifikasi,"What qualifications do you have?",Intermediate
Work/Career,resign/quit,mengundurkan diri,"He resigned from his position.",Intermediate
Work/Career,resume/CV,CV/resume,"Update your resume before applying.",Intermediate
Work/Career,salary/wage,gaji,"She negotiated a higher salary.",Intermediate
Work/Career,skill,keahlian/kemampuan,"Communication skills are essential.",Intermediate
Work/Career,team,tim,"Our team works very well together.",Beginner
Work/Career,training,pelatihan,"New employees undergo training.",Intermediate
Work/Career,workplace,tempat kerja,"A positive workplace is important.",Intermediate
